DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;142;1421991,10
202309;2;AC;10045;BRADESCO;17;94097,52
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;82;247430,66
202309;2;AC;51884;INTER;4;12306,86
202309;2;AC;10069;ITAU;150;333342,59
202309;2;AC;30379;SANTANDER;233;1027317,93
202309;2;AC;51011;VOTORANTIM;17;64294,81
202309;2;AL;49906;BB;367;1917690,10
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;105;502908,60
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;311;692289,46
202309;2;AL;51884;INTER;35;134482,05
202309;2;AL;10069;ITAU;1376;2986071,06
202309;2;AL;30379;SANTANDER;1265;4884733,55
202309;2;AL;51011;VOTORANTIM;47;148416,15
202309;2;AM;49906;BB;313;2513299,89
202309;2;AM;10045;BRADESCO;371;2486251,90
202309;2;AM;49944;BTG PACTUAL;21;153686,00
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;221;439234,49
202309;2;AM;51884;INTER;24;83380,16
202309;2;AM;10069;ITAU;1316;3173151,30
202309;2;AM;30379;SANTANDER;2044;8610103,55
202309;2;AM;51011;VOTORANTIM;64;614949,27
202309;2;AP;49906;BB;226;2122136,55
202309;2;AP;10045;BRADESCO;19;188133,01
202309;2;AP;49944;BTG PACTUAL;6;34749,99
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;64;148091,84
202309;2;AP;51884;INTER;14;48998,53
202309;2;AP;10069;ITAU;205;490666,87
202309;2;AP;30379;SANTANDER;410;1470881,45
202309;2;AP;51011;VOTORANTIM;11;59548,56
202309;2;BA;49906;BB;1550;11432739,13
202309;2;BA;10045;BRADESCO;691;3734299,99
202309;2;BA;49944;BTG PACTUAL;76;357937,08
202309;2;BA;51626;CAIXA ECONÔMICA FEDERAL;1209;2083020,31
202309;2;BA;51884;INTER;130;567306,81
202309;2;BA;10069;ITAU;6860;15277301,44
202309;2;BA;30379;SANTANDER;8201;29567074,71
202309;2;BA;51011;VOTORANTIM;191;1266416,90
202309;2;CE;49906;BB;977;7044635,38
202309;2;CE;10045;BRADESCO;428;2992161,47
202309;2;CE;49944;BTG PACTUAL;41;175565,65
202309;2;CE;51626;CAIXA ECONÔMICA FEDERAL;710;1276660,21
202309;2;CE;51884;INTER;73;359363,32
202309;2;CE;10069;ITAU;4032;8986897,18
202309;2;CE;30379;SANTANDER;4270;17088285,62
202309;2;CE;51011;VOTORANTIM;157;786719,47
202309;2;DF;49906;BB;401;4267236,18
202309;2;DF;10045;BRADESCO;167;903343,02
202309;2;DF;49944;BTG PACTUAL;36;224265,34
202309;2;DF;51626;CAIXA ECONÔMICA FEDERAL;437;1031113,25
202309;2;DF;51884;INTER;57;353891,91
202309;2;DF;10069;ITAU;2245;6192572,39
202309;2;DF;30379;SANTANDER;2535;14413500,95
202309;2;DF;51011;VOTORANTIM;75;442155,81
202309;2;ES;49906;BB;288;1930176,07
202309;2;ES;10045;BRADESCO;154;1078596,58
202309;2;ES;49944;BTG PACTUAL;15;42593,50
202309;2;ES;51626;CAIXA ECONÔMICA FEDERAL;363;705163,35
202309;2;ES;51884;INTER;56;244519,71
202309;2;ES;10069;ITAU;1499;3532785,00
202309;2;ES;30379;SANTANDER;2048;8608354,09
202309;2;ES;51011;VOTORANTIM;94;562177,05
202309;2;GO;49906;BB;648;4540517,88
202309;2;GO;10045;BRADESCO;325;2090823,54
202309;2;GO;49944;BTG PACTUAL;41;232025,64
202309;2;GO;51626;CAIXA ECONÔMICA FEDERAL;1056;2082630,99
202309;2;GO;51884;INTER;72;333980,08
202309;2;GO;10069;ITAU;3934;9503446,62
202309;2;GO;30379;SANTANDER;3662;15348610,93
202309;2;GO;51011;VOTORANTIM;168;1125340,06
202309;2;MA;49906;BB;1096;7659867,64
202309;2;MA;10045;BRADESCO;242;1206266,01
202309;2;MA;49944;BTG PACTUAL;25;215612,95
202309;2;MA;51626;CAIXA ECONÔMICA FEDERAL;332;548841,04
202309;2;MA;51884;INTER;28;122828,61
202309;2;MA;10069;ITAU;1439;3117042,23
202309;2;MA;30379;SANTANDER;1943;7491677,51
202309;2;MA;51011;VOTORANTIM;78;688007,60
202309;2;MG;49906;BB;1792;15805274,98
202309;2;MG;10045;BRADESCO;788;4454043,81
202309;2;MG;49944;BTG PACTUAL;107;679022,67
202309;2;MG;51626;CAIXA ECONÔMICA FEDERAL;1918;3211194,36
202309;2;MG;51884;INTER;338;1391599,83
202309;2;MG;10069;ITAU;11041;25650652,49
202309;2;MG;30379;SANTANDER;11054;47268966,72
202309;2;MG;51011;VOTORANTIM;550;2955191,21
202309;2;MS;49906;BB;481;3626231,03
202309;2;MS;10045;BRADESCO;253;1922469,34
202309;2;MS;49944;BTG PACTUAL;16;105489,09
202309;2;MS;51626;CAIXA ECONÔMICA FEDERAL;302;531316,06
202309;2;MS;51884;INTER;21;145094,22
202309;2;MS;10069;ITAU;996;2473234,52
202309;2;MS;30379;SANTANDER;1798;8279573,98
202309;2;MS;51011;VOTORANTIM;150;1064035,44
202309;2;MT;49906;BB;532;4240997,34
202309;2;MT;10045;BRADESCO;198;1438372,77
202309;2;MT;49944;BTG PACTUAL;16;150234,67
202309;2;MT;51626;CAIXA ECONÔMICA FEDERAL;319;593255,94
202309;2;MT;51884;INTER;39;229059,22
202309;2;MT;10069;ITAU;1064;2638848,56
202309;2;MT;30379;SANTANDER;1521;8031761,66
202309;2;MT;51011;VOTORANTIM;117;841051,37
202309;2;PA;49906;BB;862;5855443,77
202309;2;PA;10045;BRADESCO;353;2274366,28
202309;2;PA;49944;BTG PACTUAL;38;331040,03
202309;2;PA;51626;CAIXA ECONÔMICA FEDERAL;541;886020,23
202309;2;PA;51884;INTER;53;165107,94
202309;2;PA;10069;ITAU;2245;4976055,77
202309;2;PA;30379;SANTANDER;2914;10885696,75
202309;2;PA;51011;VOTORANTIM;105;963398,34
202309;2;PB;49906;BB;498;3257173,64
202309;2;PB;10045;BRADESCO;188;939403,60
202309;2;PB;49944;BTG PACTUAL;28;64743,26
202309;2;PB;51626;CAIXA ECONÔMICA FEDERAL;313;578519,45
202309;2;PB;51884;INTER;32;103839,54
202309;2;PB;10069;ITAU;2105;5181822,90
202309;2;PB;30379;SANTANDER;1991;7815059,45
202309;2;PB;51011;VOTORANTIM;96;548855,69
202309;2;PE;49906;BB;786;4858100,53
202309;2;PE;10045;BRADESCO;482;3335191,10
202309;2;PE;49944;BTG PACTUAL;64;259596,45
202309;2;PE;51626;CAIXA ECONÔMICA FEDERAL;623;954212,62
202309;2;PE;51884;INTER;79;360937,79
202309;2;PE;10069;ITAU;5325;12166772,10
202309;2;PE;30379;SANTANDER;5629;23371669,60
202309;2;PE;51011;VOTORANTIM;133;744659,89
202309;2;PI;49906;BB;635;4167978,43
202309;2;PI;10045;BRADESCO;96;449874,97
202309;2;PI;49944;BTG PACTUAL;25;59721,69
202309;2;PI;51626;CAIXA ECONÔMICA FEDERAL;360;684633,24
202309;2;PI;51884;INTER;26;98649,74
202309;2;PI;10069;ITAU;1010;2006341,23
202309;2;PI;30379;SANTANDER;1085;4324919,15
202309;2;PI;51011;VOTORANTIM;55;330660,19
202309;2;PR;49906;BB;746;5334594,07
202309;2;PR;10045;BRADESCO;614;3726146,71
202309;2;PR;49944;BTG PACTUAL;79;662399,82
202309;2;PR;51626;CAIXA ECONÔMICA FEDERAL;1801;4001214,12
202309;2;PR;51884;INTER;105;480812,47
202309;2;PR;10069;ITAU;6859;18320072,06
202309;2;PR;30379;SANTANDER;6803;30129016,00
202309;2;PR;51011;VOTORANTIM;470;3108823,08
202309;2;RJ;49906;BB;1010;7941806,59
202309;2;RJ;13009717;BCO DO EST. DE SE S.A.;1;6162,61
202309;2;RJ;10045;BRADESCO;1401;9468116,98
202309;2;RJ;49944;BTG PACTUAL;148;894631,56
202309;2;RJ;51626;CAIXA ECONÔMICA FEDERAL;1447;2613347,45
202309;2;RJ;51884;INTER;157;829127,13
202309;2;RJ;10069;ITAU;18239;43079043,68
202309;2;RJ;30379;SANTANDER;19831;89819268,54
202309;2;RJ;51011;VOTORANTIM;524;3521298,28
202309;2;RN;49906;BB;604;4587963,17
202309;2;RN;10045;BRADESCO;112;592265,74
202309;2;RN;49944;BTG PACTUAL;14;60528,93
202309;2;RN;51626;CAIXA ECONÔMICA FEDERAL;288;633049,22
202309;2;RN;51884;INTER;45;168393,54
202309;2;RN;10069;ITAU;1737;3830439,72
202309;2;RN;30379;SANTANDER;1760;7256053,47
202309;2;RN;51011;VOTORANTIM;89;433831,16
202309;2;RO;49906;BB;253;3005176,21
202309;2;RO;10045;BRADESCO;54;307511,97
202309;2;RO;49944;BTG PACTUAL;9;25349,27
202309;2;RO;51626;CAIXA ECONÔMICA FEDERAL;194;364132,66
202309;2;RO;51884;INTER;16;83554,36
202309;2;RO;10069;ITAU;343;883718,91
202309;2;RO;30379;SANTANDER;556;2869724,33
202309;2;RO;51011;VOTORANTIM;43;365271,17
202309;2;RR;49906;BB;136;1144900,35
202309;2;RR;10045;BRADESCO;15;128990,25
202309;2;RR;49944;BTG PACTUAL;4;13661,74
202309;2;RR;51626;CAIXA ECONÔMICA FEDERAL;56;147379,20
202309;2;RR;51884;INTER;5;44723,51
202309;2;RR;10069;ITAU;223;444082,93
202309;2;RR;30379;SANTANDER;310;824365,14
202309;2;RR;51011;VOTORANTIM;12;102659,76
202309;2;RS;49906;BB;693;4566730,66
202309;2;RS;10045;BRADESCO;283;1730630,20
202309;2;RS;49944;BTG PACTUAL;76;488761,39
202309;2;RS;51626;CAIXA ECONÔMICA FEDERAL;1745;3869757,14
202309;2;RS;51884;INTER;73;352470,58
202309;2;RS;10069;ITAU;4504;10074356,90
202309;2;RS;30379;SANTANDER;6277;25251354,44
202309;2;RS;51011;VOTORANTIM;313;1914804,19
202309;2;SC;49906;BB;687;5309946,20
202309;2;SC;10045;BRADESCO;287;2200841,89
202309;2;SC;49944;BTG PACTUAL;52;528870,38
202309;2;SC;51626;CAIXA ECONÔMICA FEDERAL;1106;2600417,49
202309;2;SC;51884;INTER;50;191045,00
202309;2;SC;10069;ITAU;3158;7955880,39
202309;2;SC;30379;SANTANDER;3407;15371375,58
202309;2;SC;51011;VOTORANTIM;351;2633172,78
202309;2;SE;49906;BB;237;1392426,84
202309;2;SE;13009717;BCO DO EST. DE SE S.A.;104;578089,76
202309;2;SE;10045;BRADESCO;56;219046,04
202309;2;SE;49944;BTG PACTUAL;9;34133,79
